gene,name,GO,description,meta
Locus_3927_Transcript_1_Length_3420_genewise_newlength_3415__CDS__534__3083.orfnuc.phy,#NAME?,GO:0009790,embryo development,P
Locus_3927_Transcript_1_Length_3420_genewise_newlength_3415__CDS__534__3083.orfnuc.phy,#NAME?,GO:0007165,signal transduction,P
Locus_3927_Transcript_1_Length_3420_genewise_newlength_3415__CDS__534__3083.orfnuc.phy,#NAME?,GO:0071669,plant-type cell wall organization or biogenesis,P
Locus_3927_Transcript_1_Length_3420_genewise_newlength_3415__CDS__534__3083.orfnuc.phy,#NAME?,GO:0010035,response to inorganic substance,P
Locus_3927_Transcript_1_Length_3420_genewise_newlength_3415__CDS__534__3083.orfnuc.phy,#NAME?,GO:0005634,nucleus,C
Locus_3927_Transcript_1_Length_3420_genewise_newlength_3415__CDS__534__3083.orfnuc.phy,#NAME?,GO:0048440,carpel development,P
Locus_3927_Transcript_1_Length_3420_genewise_newlength_3415__CDS__534__3083.orfnuc.phy,#NAME?,GO:0005739,mitochondrion,C
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0042744,hydrogen peroxide catabolic process,P
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0006833,water transport,P
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0009793,embryo development ending in seed dormancy,P
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0009686,gibberellin biosynthetic process,P
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0006486,protein glycosylation,P
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0009965,leaf morphogenesis,P
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0016570,histone modification,P
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0043090,amino acid import,P
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0010114,response to red light,P
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0009407,toxin catabolic process,P
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0061062,regulation of nematode larval development,P
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0032880,regulation of protein localization,P
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0005774,vacuolar membrane,C
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0019344,cysteine biosynthetic process,P
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0051117,ATPase binding,F
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0009570,chloroplast stroma,C
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0005829,cytosol,C
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0006096,glycolysis,P
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0009651,response to salt stress,P
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0009506,plasmodesma,C
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0009266,response to temperature stimulus,P
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0019288,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",P
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0048449,floral organ formation,P
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0009845,seed germination,P
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0009941,chloroplast envelope,C
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0042742,defense response to bacterium,P
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0009737,response to abscisic acid stimulus,P
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0016310,phosphorylation,P
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0048528,post-embryonic root development,P
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0009740,gibberellic acid mediated signaling pathway,P
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0006888,ER to Golgi vesicle-mediated transport,P
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0009505,plant-type cell wall,C
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0010218,response to far red light,P
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0010162,seed dormancy process,P
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0005886,plasma membrane,C
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0045309,protein phosphorylated amino acid binding,F
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0009624,response to nematode,P
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0005794,Golgi apparatus,C
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0005739,mitochondrion,C
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0005635,nuclear envelope,C
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0005524,ATP binding,F
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0080167,response to karrikin,P
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0009909,regulation of flower development,P
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0009750,response to fructose stimulus,P
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0006972,hyperosmotic response,P
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0046686,response to cadmium ion,P
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0005509,calcium ion binding,F
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0048046,apoplast,C
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0007030,Golgi organization,P
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0006094,gluconeogenesis,P
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0009742,brassinosteroid mediated signaling pathway,P
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0016597,amino acid binding,F
Locus_5503_Transcript_1_Length_1332_genewise_newlength_1332__CDS__48__821.orfnuc.phy,14-3-3-like protein gf14 mu,GO:0019904,protein domain specific binding,F
Locus_6987_Transcript_4_Length_3239_genewise_newlength_2418__CDS__257__2017.orfnuc.phy,2 protease,GO:0009941,chloroplast envelope,C
Locus_6987_Transcript_4_Length_3239_genewise_newlength_2418__CDS__257__2017.orfnuc.phy,2 protease,GO:0004252,serine-type endopeptidase activity,F
Locus_6987_Transcript_4_Length_3239_genewise_newlength_2418__CDS__257__2017.orfnuc.phy,2 protease,GO:0006406,mRNA export from nucleus,P
Locus_6987_Transcript_4_Length_3239_genewise_newlength_2418__CDS__257__2017.orfnuc.phy,2 protease,GO:0031977,thylakoid lumen,C
Locus_6987_Transcript_4_Length_3239_genewise_newlength_2418__CDS__257__2017.orfnuc.phy,2 protease,GO:0010075,regulation of meristem growth,P
Locus_6987_Transcript_4_Length_3239_genewise_newlength_2418__CDS__257__2017.orfnuc.phy,2 protease,GO:0005730,nucleolus,C
Locus_6987_Transcript_4_Length_3239_genewise_newlength_2418__CDS__257__2017.orfnuc.phy,2 protease,GO:0019288,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",P
Locus_6987_Transcript_4_Length_3239_genewise_newlength_2418__CDS__257__2017.orfnuc.phy,2 protease,GO:0009533,chloroplast stromal thylakoid,C
Locus_6987_Transcript_4_Length_3239_genewise_newlength_2418__CDS__257__2017.orfnuc.phy,2 protease,GO:0009658,chloroplast organization,P
Locus_6987_Transcript_4_Length_3239_genewise_newlength_2418__CDS__257__2017.orfnuc.phy,2 protease,GO:0010206,photosystem II repair,P
Locus_6987_Transcript_4_Length_3239_genewise_newlength_2418__CDS__257__2017.orfnuc.phy,2 protease,GO:0030163,protein catabolic process,P
Locus_6987_Transcript_4_Length_3239_genewise_newlength_2418__CDS__257__2017.orfnuc.phy,2 protease,GO:0006508,proteolysis,P
Locus_6987_Transcript_4_Length_3239_genewise_newlength_2418__CDS__257__2017.orfnuc.phy,2 protease,GO:0009535,chloroplast thylakoid membrane,C
Locus_6987_Transcript_4_Length_3239_genewise_newlength_2418__CDS__257__2017.orfnuc.phy,2 protease,GO:0006606,protein import into nucleus,P
Locus_6987_Transcript_4_Length_3239_genewise_newlength_2418__CDS__257__2017.orfnuc.phy,2 protease,GO:0005739,mitochondrion,C
Locus_6987_Transcript_4_Length_3239_genewise_newlength_2418__CDS__257__2017.orfnuc.phy,2 protease,GO:0005515,protein binding,F
Locus_494_Transcript_11_Length_2627_genewise_newlength_2617__CDS__1392__1994.orfnuc.phy,2-cysteine peroxiredoxin b,GO:0009750,response to fructose stimulus,P
Locus_494_Transcript_11_Length_2627_genewise_newlength_2617__CDS__1392__1994.orfnuc.phy,2-cysteine peroxiredoxin b,GO:0019684,"photosynthesis, light reaction",P
Locus_494_Transcript_11_Length_2627_genewise_newlength_2617__CDS__1392__1994.orfnuc.phy,2-cysteine peroxiredoxin b,GO:0031348,negative regulation of defense response,P
Locus_494_Transcript_11_Length_2627_genewise_newlength_2617__CDS__1392__1994.orfnuc.phy,2-cysteine peroxiredoxin b,GO:0006098,pentose-phosphate shunt,P
Locus_494_Transcript_11_Length_2627_genewise_newlength_2617__CDS__1392__1994.orfnuc.phy,2-cysteine peroxiredoxin b,GO:0009595,detection of biotic stimulus,P
Locus_494_Transcript_11_Length_2627_genewise_newlength_2617__CDS__1392__1994.orfnuc.phy,2-cysteine peroxiredoxin b,GO:0009941,chloroplast envelope,C
Locus_494_Transcript_11_Length_2627_genewise_newlength_2617__CDS__1392__1994.orfnuc.phy,2-cysteine peroxiredoxin b,GO:0048046,apoplast,C
Locus_494_Transcript_11_Length_2627_genewise_newlength_2617__CDS__1392__1994.orfnuc.phy,2-cysteine peroxiredoxin b,GO:0005515,protein binding,F
Locus_494_Transcript_11_Length_2627_genewise_newlength_2617__CDS__1392__1994.orfnuc.phy,2-cysteine peroxiredoxin b,GO:0000038,very long-chain fatty acid metabolic process,P
Locus_494_Transcript_11_Length_2627_genewise_newlength_2617__CDS__1392__1994.orfnuc.phy,2-cysteine peroxiredoxin b,GO:0009867,jasmonic acid mediated signaling pathway,P
Locus_494_Transcript_11_Length_2627_genewise_newlength_2617__CDS__1392__1994.orfnuc.phy,2-cysteine peroxiredoxin b,GO:0010319,stromule,C
Locus_494_Transcript_11_Length_2627_genewise_newlength_2617__CDS__1392__1994.orfnuc.phy,2-cysteine peroxiredoxin b,GO:0009697,salicylic acid biosynthetic process,P
Locus_494_Transcript_11_Length_2627_genewise_newlength_2617__CDS__1392__1994.orfnuc.phy,2-cysteine peroxiredoxin b,GO:0006833,water transport,P
Locus_494_Transcript_11_Length_2627_genewise_newlength_2617__CDS__1392__1994.orfnuc.phy,2-cysteine peroxiredoxin b,GO:0009862,"systemic acquired resistance, salicylic acid mediated signaling pathway",P
Locus_494_Transcript_11_Length_2627_genewise_newlength_2617__CDS__1392__1994.orfnuc.phy,2-cysteine peroxiredoxin b,GO:0051920,peroxiredoxin activity,F
Locus_494_Transcript_11_Length_2627_genewise_newlength_2617__CDS__1392__1994.orfnuc.phy,2-cysteine peroxiredoxin b,GO:0010363,regulation of plant-type hypersensitive response,P
Locus_494_Transcript_11_Length_2627_genewise_newlength_2617__CDS__1392__1994.orfnuc.phy,2-cysteine peroxiredoxin b,GO:0010310,regulation of hydrogen peroxide metabolic process,P
Locus_494_Transcript_11_Length_2627_genewise_newlength_2617__CDS__1392__1994.orfnuc.phy,2-cysteine peroxiredoxin b,GO:0010200,response to chitin,P
Locus_494_Transcript_11_Length_2627_genewise_newlength_2617__CDS__1392__1994.orfnuc.phy,2-cysteine peroxiredoxin b,GO:0009651,response to salt stress,P
Locus_494_Transcript_11_Length_2627_genewise_newlength_2617__CDS__1392__1994.orfnuc.phy,2-cysteine peroxiredoxin b,GO:0043900,regulation of multi-organism process,P
Locus_494_Transcript_11_Length_2627_genewise_newlength_2617__CDS__1392__1994.orfnuc.phy,2-cysteine peroxiredoxin b,GO:0006612,protein targeting to membrane,P
Locus_494_Transcript_11_Length_2627_genewise_newlength_2617__CDS__1392__1994.orfnuc.phy,2-cysteine peroxiredoxin b,GO:0050832,defense response to fungus,P
Locus_494_Transcript_11_Length_2627_genewise_newlength_2617__CDS__1392__1994.orfnuc.phy,2-cysteine peroxiredoxin b,GO:0042742,defense response to bacterium,P
Locus_494_Transcript_11_Length_2627_genewise_newlength_2617__CDS__1392__1994.orfnuc.phy,2-cysteine peroxiredoxin b,GO:0005829,cytosol,C
Locus_494_Transcript_11_Length_2627_genewise_newlength_2617__CDS__1392__1994.orfnuc.phy,2-cysteine peroxiredoxin b,GO:0019288,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",P
Locus_494_Transcript_11_Length_2627_genewise_newlength_2617__CDS__1392__1994.orfnuc.phy,2-cysteine peroxiredoxin b,GO:0004601,peroxidase activity,F
Locus_494_Transcript_11_Length_2627_genewise_newlength_2617__CDS__1392__1994.orfnuc.phy,2-cysteine peroxiredoxin b,GO:0000165,MAPK cascade,P
Locus_494_Transcript_11_Length_2627_genewise_newlength_2617__CDS__1392__1994.orfnuc.phy,2-cysteine peroxiredoxin b,GO:0009570,chloroplast stroma,C
Locus_494_Transcript_11_Length_2627_genewise_newlength_2617__CDS__1392__1994.orfnuc.phy,2-cysteine peroxiredoxin b,GO:0019761,glucosinolate biosynthetic process,P
Locus_494_Transcript_11_Length_2627_genewise_newlength_2617__CDS__1392__1994.orfnuc.phy,2-cysteine peroxiredoxin b,GO:0042335,cuticle development,P
Locus_494_Transcript_11_Length_2627_genewise_newlength_2617__CDS__1392__1994.orfnuc.phy,2-cysteine peroxiredoxin b,GO:0009579,thylakoid,C
Locus_494_Transcript_11_Length_2627_genewise_newlength_2617__CDS__1392__1994.orfnuc.phy,2-cysteine peroxiredoxin b,GO:0009409,response to cold,P
Locus_494_Transcript_11_Length_2627_genewise_newlength_2617__CDS__1392__1994.orfnuc.phy,2-cysteine peroxiredoxin b,GO:0019344,cysteine biosynthetic process,P
Locus_494_Transcript_11_Length_2627_genewise_newlength_2617__CDS__1392__1994.orfnuc.phy,2-cysteine peroxiredoxin b,GO:0010027,thylakoid membrane organization,P
Locus_494_Transcript_11_Length_2627_genewise_newlength_2617__CDS__1392__1994.orfnuc.phy,2-cysteine peroxiredoxin b,GO:0005739,mitochondrion,C
Locus_1698_Transcript_4_Length_2313_genewise_newlength_2313__CDS__143__1471.orfnuc.phy,26s proteasome regulatory particle non-atpase subunit 5a,GO:0051788,response to misfolded protein,P
Locus_1698_Transcript_4_Length_2313_genewise_newlength_2313__CDS__143__1471.orfnuc.phy,26s proteasome regulatory particle non-atpase subunit 5a,GO:0009853,photorespiration,P
Locus_1698_Transcript_4_Length_2313_genewise_newlength_2313__CDS__143__1471.orfnuc.phy,26s proteasome regulatory particle non-atpase subunit 5a,GO:0006094,gluconeogenesis,P
Locus_1698_Transcript_4_Length_2313_genewise_newlength_2313__CDS__143__1471.orfnuc.phy,26s proteasome regulatory particle non-atpase subunit 5a,GO:0006635,fatty acid beta-oxidation,P
Locus_1698_Transcript_4_Length_2313_genewise_newlength_2313__CDS__143__1471.orfnuc.phy,26s proteasome regulatory particle non-atpase subunit 5a,GO:0043161,proteasomal ubiquitin-dependent protein catabolic process,P
Locus_1698_Transcript_4_Length_2313_genewise_newlength_2313__CDS__143__1471.orfnuc.phy,26s proteasome regulatory particle non-atpase subunit 5a,GO:0009793,embryo development ending in seed dormancy,P
Locus_1698_Transcript_4_Length_2313_genewise_newlength_2313__CDS__143__1471.orfnuc.phy,26s proteasome regulatory particle non-atpase subunit 5a,GO:0009651,response to salt stress,P
Locus_1698_Transcript_4_Length_2313_genewise_newlength_2313__CDS__143__1471.orfnuc.phy,26s proteasome regulatory particle non-atpase subunit 5a,GO:0009407,toxin catabolic process,P
Locus_1698_Transcript_4_Length_2313_genewise_newlength_2313__CDS__143__1471.orfnuc.phy,26s proteasome regulatory particle non-atpase subunit 5a,GO:0080129,proteasome core complex assembly,P
Locus_1698_Transcript_4_Length_2313_genewise_newlength_2313__CDS__143__1471.orfnuc.phy,26s proteasome regulatory particle non-atpase subunit 5a,GO:0051510,regulation of unidimensional cell growth,P
Locus_1698_Transcript_4_Length_2313_genewise_newlength_2313__CDS__143__1471.orfnuc.phy,26s proteasome regulatory particle non-atpase subunit 5a,GO:0010388,cullin deneddylation,P
