gene,name,GO,description,meta
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0010089,xylem development,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0044036,cell wall macromolecule metabolic process,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0010498,proteasomal protein catabolic process,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0016682,"oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor",F
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0010310,regulation of hydrogen peroxide metabolic process,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0005618,cell wall,C
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0005886,plasma membrane,C
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0010162,seed dormancy process,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0071732,cellular response to nitric oxide,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0005794,Golgi apparatus,C
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0005739,mitochondrion,C
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0048027,mRNA 5'-UTR binding,F
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0009862,"systemic acquired resistance, salicylic acid mediated signaling pathway",P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0005773,vacuole,C
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0009813,flavonoid biosynthetic process,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0055072,iron ion homeostasis,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0080167,response to karrikin,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0016132,brassinosteroid biosynthetic process,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0010106,cellular response to iron ion starvation,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0006972,hyperosmotic response,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0046686,response to cadmium ion,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0009727,detection of ethylene stimulus,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0048046,apoplast,C
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0007030,Golgi organization,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0006094,gluconeogenesis,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0000165,MAPK cascade,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0015706,nitrate transport,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0009830,cell wall modification involved in abscission,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0006487,protein N-linked glycosylation,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0043900,regulation of multi-organism process,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0009507,chloroplast,C
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0009611,response to wounding,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0051365,cellular response to potassium ion starvation,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0071398,cellular response to fatty acid,P
Locus_1033_Transcript_11_Length_2188_genewise_newlength_2171__CDS__803__1729,2og-fe oxygenase family protein,GO:0006826,iron ion transport,P
Locus_3726_Transcript_7_Length_1950_genewise_newlength_1526__CDS__1__1065,5 -amp-activated protein kinase-like protein,GO:0030247,polysaccharide binding,F
Locus_3726_Transcript_7_Length_1950_genewise_newlength_1526__CDS__1__1065,5 -amp-activated protein kinase-like protein,GO:0009507,chloroplast,C
Locus_30227_Transcript_1_Length_365_genewise_newlength_365__CDS__28__360,60s ribosomal protein l35a-3,GO:0003735,structural constituent of ribosome,F
Locus_30227_Transcript_1_Length_365_genewise_newlength_365__CDS__28__360,60s ribosomal protein l35a-3,GO:0042254,ribosome biogenesis,P
Locus_30227_Transcript_1_Length_365_genewise_newlength_365__CDS__28__360,60s ribosomal protein l35a-3,GO:0022625,cytosolic large ribosomal subunit,C
Locus_30227_Transcript_1_Length_365_genewise_newlength_365__CDS__28__360,60s ribosomal protein l35a-3,GO:0016020,membrane,C
Locus_30227_Transcript_1_Length_365_genewise_newlength_365__CDS__28__360,60s ribosomal protein l35a-3,GO:0006412,translation,P
Locus_4101_Transcript_9_Length_3920_genewise_newlength_3920__CDS__46__1767,actin binding calponin homology domain-containing protein,GO:0005829,cytosol,C
Locus_4101_Transcript_9_Length_3920_genewise_newlength_3920__CDS__46__1767,actin binding calponin homology domain-containing protein,GO:0009954,proximal/distal pattern formation,P
Locus_4101_Transcript_9_Length_3920_genewise_newlength_3920__CDS__46__1767,actin binding calponin homology domain-containing protein,GO:0005618,cell wall,C
Locus_4101_Transcript_9_Length_3920_genewise_newlength_3920__CDS__46__1767,actin binding calponin homology domain-containing protein,GO:0060151,peroxisome localization,P
Locus_4101_Transcript_9_Length_3920_genewise_newlength_3920__CDS__46__1767,actin binding calponin homology domain-containing protein,GO:0051015,actin filament binding,F
Locus_4101_Transcript_9_Length_3920_genewise_newlength_3920__CDS__46__1767,actin binding calponin homology domain-containing protein,GO:0007623,circadian rhythm,P
Locus_4101_Transcript_9_Length_3920_genewise_newlength_3920__CDS__46__1767,actin binding calponin homology domain-containing protein,GO:0030036,actin cytoskeleton organization,P
Locus_4101_Transcript_9_Length_3920_genewise_newlength_3920__CDS__46__1767,actin binding calponin homology domain-containing protein,GO:0010227,floral organ abscission,P
Locus_4101_Transcript_9_Length_3920_genewise_newlength_3920__CDS__46__1767,actin binding calponin homology domain-containing protein,GO:0009860,pollen tube growth,P
Locus_4101_Transcript_9_Length_3920_genewise_newlength_3920__CDS__46__1767,actin binding calponin homology domain-containing protein,GO:0048439,flower morphogenesis,P
Locus_4101_Transcript_9_Length_3920_genewise_newlength_3920__CDS__46__1767,actin binding calponin homology domain-containing protein,GO:0051646,mitochondrion localization,P
Locus_4101_Transcript_9_Length_3920_genewise_newlength_3920__CDS__46__1767,actin binding calponin homology domain-containing protein,GO:0051645,Golgi localization,P
Locus_4101_Transcript_9_Length_3920_genewise_newlength_3920__CDS__46__1767,actin binding calponin homology domain-containing protein,GO:0009846,pollen germination,P
Locus_4101_Transcript_9_Length_3920_genewise_newlength_3920__CDS__46__1767,actin binding calponin homology domain-containing protein,GO:0005773,vacuole,C
Locus_4101_Transcript_9_Length_3920_genewise_newlength_3920__CDS__46__1767,actin binding calponin homology domain-containing protein,GO:0030048,actin filament-based movement,P
Locus_2439_Transcript_1_Length_1584_genewise_newlength_1481__CDS__140__1210,alpha beta-hydrolases superfamily protein,GO:0044249,cellular biosynthetic process,P
Locus_2439_Transcript_1_Length_1584_genewise_newlength_1481__CDS__140__1210,alpha beta-hydrolases superfamily protein,GO:0080090,regulation of primary metabolic process,P
Locus_2439_Transcript_1_Length_1584_genewise_newlength_1481__CDS__140__1210,alpha beta-hydrolases superfamily protein,GO:1901137,carbohydrate derivative biosynthetic process,P
Locus_2439_Transcript_1_Length_1584_genewise_newlength_1481__CDS__140__1210,alpha beta-hydrolases superfamily protein,GO:0044710,single-organism metabolic process,P
Locus_2439_Transcript_1_Length_1584_genewise_newlength_1481__CDS__140__1210,alpha beta-hydrolases superfamily protein,GO:0009506,plasmodesma,C
Locus_2439_Transcript_1_Length_1584_genewise_newlength_1481__CDS__140__1210,alpha beta-hydrolases superfamily protein,GO:0044699,single-organism process,P
Locus_2439_Transcript_1_Length_1584_genewise_newlength_1481__CDS__140__1210,alpha beta-hydrolases superfamily protein,GO:0009505,plant-type cell wall,C
Locus_2439_Transcript_1_Length_1584_genewise_newlength_1481__CDS__140__1210,alpha beta-hydrolases superfamily protein,GO:0009889,regulation of biosynthetic process,P
Locus_2439_Transcript_1_Length_1584_genewise_newlength_1481__CDS__140__1210,alpha beta-hydrolases superfamily protein,GO:0003824,catalytic activity,F
Locus_2439_Transcript_1_Length_1584_genewise_newlength_1481__CDS__140__1210,alpha beta-hydrolases superfamily protein,GO:0005773,vacuole,C
Locus_2439_Transcript_1_Length_1584_genewise_newlength_1481__CDS__140__1210,alpha beta-hydrolases superfamily protein,GO:0016020,membrane,C
Locus_2439_Transcript_1_Length_1584_genewise_newlength_1481__CDS__140__1210,alpha beta-hydrolases superfamily protein,GO:0006950,response to stress,P
Locus_2439_Transcript_1_Length_1584_genewise_newlength_1481__CDS__140__1210,alpha beta-hydrolases superfamily protein,GO:0005783,endoplasmic reticulum,C
Locus_5158_Transcript_12_Length_1423_genewise_newlength_1423__CDS__429__1166,alpha carbonic anhydrase 1,GO:0000325,plant-type vacuole,C
Locus_5158_Transcript_12_Length_1423_genewise_newlength_1423__CDS__429__1166,alpha carbonic anhydrase 1,GO:0005774,vacuolar membrane,C
Locus_5158_Transcript_12_Length_1423_genewise_newlength_1423__CDS__429__1166,alpha carbonic anhydrase 1,GO:0010042,response to manganese ion,P
Locus_5158_Transcript_12_Length_1423_genewise_newlength_1423__CDS__429__1166,alpha carbonic anhydrase 1,GO:0005515,protein binding,F
Locus_5158_Transcript_12_Length_1423_genewise_newlength_1423__CDS__429__1166,alpha carbonic anhydrase 1,GO:0030176,integral to endoplasmic reticulum membrane,C
Locus_5158_Transcript_12_Length_1423_genewise_newlength_1423__CDS__429__1166,alpha carbonic anhydrase 1,GO:0030026,cellular manganese ion homeostasis,P
Locus_5158_Transcript_12_Length_1423_genewise_newlength_1423__CDS__429__1166,alpha carbonic anhydrase 1,GO:0051707,response to other organism,P
Locus_5158_Transcript_12_Length_1423_genewise_newlength_1423__CDS__429__1166,alpha carbonic anhydrase 1,GO:0006816,calcium ion transport,P
Locus_5158_Transcript_12_Length_1423_genewise_newlength_1423__CDS__429__1166,alpha carbonic anhydrase 1,GO:0071705,nitrogen compound transport,P
Locus_5158_Transcript_12_Length_1423_genewise_newlength_1423__CDS__429__1166,alpha carbonic anhydrase 1,GO:0043067,regulation of programmed cell death,P
Locus_5158_Transcript_12_Length_1423_genewise_newlength_1423__CDS__429__1166,alpha carbonic anhydrase 1,GO:0009706,chloroplast inner membrane,C
Locus_5158_Transcript_12_Length_1423_genewise_newlength_1423__CDS__429__1166,alpha carbonic anhydrase 1,GO:0004089,carbonate dehydratase activity,F
Locus_5158_Transcript_12_Length_1423_genewise_newlength_1423__CDS__429__1166,alpha carbonic anhydrase 1,GO:0006970,response to osmotic stress,P
Locus_5158_Transcript_12_Length_1423_genewise_newlength_1423__CDS__429__1166,alpha carbonic anhydrase 1,GO:0009570,chloroplast stroma,C
Locus_5158_Transcript_12_Length_1423_genewise_newlength_1423__CDS__429__1166,alpha carbonic anhydrase 1,GO:0006820,anion transport,P
Locus_5158_Transcript_12_Length_1423_genewise_newlength_1423__CDS__429__1166,alpha carbonic anhydrase 1,GO:0071702,organic substance transport,P
Locus_5158_Transcript_12_Length_1423_genewise_newlength_1423__CDS__429__1166,alpha carbonic anhydrase 1,GO:0010037,response to carbon dioxide,P
Locus_5158_Transcript_12_Length_1423_genewise_newlength_1423__CDS__429__1166,alpha carbonic anhydrase 1,GO:0046686,response to cadmium ion,P
Locus_5158_Transcript_12_Length_1423_genewise_newlength_1423__CDS__429__1166,alpha carbonic anhydrase 1,GO:0005388,calcium-transporting ATPase activity,F
Locus_5158_Transcript_12_Length_1423_genewise_newlength_1423__CDS__429__1166,alpha carbonic anhydrase 1,GO:0005886,plasma membrane,C
Locus_5158_Transcript_12_Length_1423_genewise_newlength_1423__CDS__429__1166,alpha carbonic anhydrase 1,GO:0006952,defense response,P
Locus_5158_Transcript_12_Length_1423_genewise_newlength_1423__CDS__429__1166,alpha carbonic anhydrase 1,GO:0006828,manganese ion transport,P
Locus_10422_Transcript_8_Length_2577_genewise_newlength_2577__CDS__751__2382,ankyrin repeat-containing protein,GO:0009651,response to salt stress,P
Locus_10422_Transcript_8_Length_2577_genewise_newlength_2577__CDS__751__2382,ankyrin repeat-containing protein,GO:0005515,protein binding,F
Locus_10422_Transcript_8_Length_2577_genewise_newlength_2577__CDS__751__2382,ankyrin repeat-containing protein,GO:0034613,cellular protein localization,P
Locus_10422_Transcript_8_Length_2577_genewise_newlength_2577__CDS__751__2382,ankyrin repeat-containing protein,GO:0005783,endoplasmic reticulum,C
Locus_10422_Transcript_8_Length_2577_genewise_newlength_2577__CDS__751__2382,ankyrin repeat-containing protein,GO:0005634,nucleus,C
Locus_10422_Transcript_8_Length_2577_genewise_newlength_2577__CDS__751__2382,ankyrin repeat-containing protein,GO:0005886,plasma membrane,C
Locus_3750_Transcript_5_Length_1917_genewise_newlength_1917__CDS__778__1575,aquaporin pip2-1,GO:0046685,response to arsenic-containing substance,P
Locus_3750_Transcript_5_Length_1917_genewise_newlength_1917__CDS__778__1575,aquaporin pip2-1,GO:0044446,intracellular organelle part,C
Locus_3750_Transcript_5_Length_1917_genewise_newlength_1917__CDS__778__1575,aquaporin pip2-1,GO:0015700,arsenite transport,P
Locus_3750_Transcript_5_Length_1917_genewise_newlength_1917__CDS__778__1575,aquaporin pip2-1,GO:0035445,borate transmembrane transport,P
Locus_3750_Transcript_5_Length_1917_genewise_newlength_1917__CDS__778__1575,aquaporin pip2-1,GO:0080029,cellular response to boron-containing substance levels,P
Locus_3750_Transcript_5_Length_1917_genewise_newlength_1917__CDS__778__1575,aquaporin pip2-1,GO:0010035,response to inorganic substance,P
Locus_3750_Transcript_5_Length_1917_genewise_newlength_1917__CDS__778__1575,aquaporin pip2-1,GO:0015250,water channel activity,F
Locus_3750_Transcript_5_Length_1917_genewise_newlength_1917__CDS__778__1575,aquaporin pip2-1,GO:0005783,endoplasmic reticulum,C
Locus_3750_Transcript_5_Length_1917_genewise_newlength_1917__CDS__778__1575,aquaporin pip2-1,GO:0044238,primary metabolic process,P
Locus_3750_Transcript_5_Length_1917_genewise_newlength_1917__CDS__778__1575,aquaporin pip2-1,GO:1901700,response to oxygen-containing compound,P
Locus_3750_Transcript_5_Length_1917_genewise_newlength_1917__CDS__778__1575,aquaporin pip2-1,GO:0015204,urea transmembrane transporter activity,F
Locus_3750_Transcript_5_Length_1917_genewise_newlength_1917__CDS__778__1575,aquaporin pip2-1,GO:0044283,small molecule biosynthetic process,P
Locus_3750_Transcript_5_Length_1917_genewise_newlength_1917__CDS__778__1575,aquaporin pip2-1,GO:0080138,borate uptake transmembrane transporter activity,F
Locus_3750_Transcript_5_Length_1917_genewise_newlength_1917__CDS__778__1575,aquaporin pip2-1,GO:0015105,arsenite transmembrane transporter activity,F
Locus_3750_Transcript_5_Length_1917_genewise_newlength_1917__CDS__778__1575,aquaporin pip2-1,GO:0044237,cellular metabolic process,P
Locus_3750_Transcript_5_Length_1917_genewise_newlength_1917__CDS__778__1575,aquaporin pip2-1,GO:0001666,response to hypoxia,P
Locus_3750_Transcript_5_Length_1917_genewise_newlength_1917__CDS__778__1575,aquaporin pip2-1,GO:0031347,regulation of defense response,P
Locus_3750_Transcript_5_Length_1917_genewise_newlength_1917__CDS__778__1575,aquaporin pip2-1,GO:0015727,lactate transport,P
Locus_3750_Transcript_5_Length_1917_genewise_newlength_1917__CDS__778__1575,aquaporin pip2-1,GO:0005515,protein binding,F
Locus_3750_Transcript_5_Length_1917_genewise_newlength_1917__CDS__778__1575,aquaporin pip2-1,GO:0006857,oligopeptide transport,P
Locus_3750_Transcript_5_Length_1917_genewise_newlength_1917__CDS__778__1575,aquaporin pip2-1,GO:0065008,regulation of biological quality,P
Locus_3750_Transcript_5_Length_1917_genewise_newlength_1917__CDS__778__1575,aquaporin pip2-1,GO:0033554,cellular response to stress,P
Locus_3750_Transcript_5_Length_1917_genewise_newlength_1917__CDS__778__1575,aquaporin pip2-1,GO:1901576,organic substance biosynthetic process,P
Locus_3750_Transcript_5_Length_1917_genewise_newlength_1917__CDS__778__1575,aquaporin pip2-1,GO:0000041,transition metal ion transport,P
Locus_3750_Transcript_5_Length_1917_genewise_newlength_1917__CDS__778__1575,aquaporin pip2-1,GO:0080170,hydrogen peroxide transmembrane transport,P
Locus_3750_Transcript_5_Length_1917_genewise_newlength_1917__CDS__778__1575,aquaporin pip2-1,GO:0015168,glycerol transmembrane transporter activity,F
Locus_3750_Transcript_5_Length_1917_genewise_newlength_1917__CDS__778__1575,aquaporin pip2-1,GO:0000325,plant-type vacuole,C
Locus_3750_Transcript_5_Length_1917_genewise_newlength_1917__CDS__778__1575,aquaporin pip2-1,GO:0071840,cellular component organization or biogenesis,P
Locus_3750_Transcript_5_Length_1917_genewise_newlength_1917__CDS__778__1575,aquaporin pip2-1,GO:0009507,chloroplast,C
Locus_3750_Transcript_5_Length_1917_genewise_newlength_1917__CDS__778__1575,aquaporin pip2-1,GO:0015129,lactate transmembrane transporter activity,F
Locus_3750_Transcript_5_Length_1917_genewise_newlength_1917__CDS__778__1575,aquaporin pip2-1,GO:0016328,lateral plasma membrane,C
Locus_2163_Transcript_9_Length_3202_genewise_newlength_3202__CDS__1059__2432,bel1-like homeodomain 1,GO:0071345,cellular response to cytokine stimulus,P
Locus_2163_Transcript_9_Length_3202_genewise_newlength_3202__CDS__1059__2432,bel1-like homeodomain 1,GO:0004372,glycine hydroxymethyltransferase activity,F
Locus_2163_Transcript_9_Length_3202_genewise_newlength_3202__CDS__1059__2432,bel1-like homeodomain 1,GO:0010229,inflorescence development,P
Locus_2163_Transcript_9_Length_3202_genewise_newlength_3202__CDS__1059__2432,bel1-like homeodomain 1,GO:0010223,secondary shoot formation,P
Locus_2163_Transcript_9_Length_3202_genewise_newlength_3202__CDS__1059__2432,bel1-like homeodomain 1,GO:0007127,meiosis I,P
Locus_2163_Transcript_9_Length_3202_genewise_newlength_3202__CDS__1059__2432,bel1-like homeodomain 1,GO:0009736,cytokinin mediated signaling pathway,P
Locus_2163_Transcript_9_Length_3202_genewise_newlength_3202__CDS__1059__2432,bel1-like homeodomain 1,GO:0009610,response to symbiotic fungus,P
Locus_2163_Transcript_9_Length_3202_genewise_newlength_3202__CDS__1059__2432,bel1-like homeodomain 1,GO:2000652,regulation of secondary cell wall biogenesis,P
Locus_2163_Transcript_9_Length_3202_genewise_newlength_3202__CDS__1059__2432,bel1-like homeodomain 1,GO:0009570,chloroplast stroma,C
Locus_2163_Transcript_9_Length_3202_genewise_newlength_3202__CDS__1059__2432,bel1-like homeodomain 1,GO:0010077,maintenance of inflorescence meristem identity,P
Locus_2163_Transcript_9_Length_3202_genewise_newlength_3202__CDS__1059__2432,bel1-like homeodomain 1,GO:0048457,floral whorl morphogenesis,P
Locus_2163_Transcript_9_Length_3202_genewise_newlength_3202__CDS__1059__2432,bel1-like homeodomain 1,GO:0046982,protein heterodimerization activity,F
Locus_2163_Transcript_9_Length_3202_genewise_newlength_3202__CDS__1059__2432,bel1-like homeodomain 1,GO:0007623,circadian rhythm,P
Locus_2163_Transcript_9_Length_3202_genewise_newlength_3202__CDS__1059__2432,bel1-like homeodomain 1,GO:0009965,leaf morphogenesis,P
Locus_2163_Transcript_9_Length_3202_genewise_newlength_3202__CDS__1059__2432,bel1-like homeodomain 1,GO:0019216,regulation of lipid metabolic process,P
Locus_2163_Transcript_9_Length_3202_genewise_newlength_3202__CDS__1059__2432,bel1-like homeodomain 1,GO:0010197,polar nucleus fusion,P
Locus_2163_Transcript_9_Length_3202_genewise_newlength_3202__CDS__1059__2432,bel1-like homeodomain 1,GO:0042803,protein homodimerization activity,F
Locus_2163_Transcript_9_Length_3202_genewise_newlength_3202__CDS__1059__2432,bel1-like homeodomain 1,GO:0010319,stromule,C
Locus_2163_Transcript_9_Length_3202_genewise_newlength_3202__CDS__1059__2432,bel1-like homeodomain 1,GO:0009934,regulation of meristem structural organization,P
Locus_2163_Transcript_9_Length_3202_genewise_newlength_3202__CDS__1059__2432,bel1-like homeodomain 1,GO:0019464,glycine decarboxylation via glycine cleavage system,P
Locus_2163_Transcript_9_Length_3202_genewise_newlength_3202__CDS__1059__2432,bel1-like homeodomain 1,GO:0009737,response to abscisic acid stimulus,P
Locus_2163_Transcript_9_Length_3202_genewise_newlength_3202__CDS__1059__2432,bel1-like homeodomain 1,GO:0048510,regulation of timing of transition from vegetative to reproductive phase,P
Locus_2163_Transcript_9_Length_3202_genewise_newlength_3202__CDS__1059__2432,bel1-like homeodomain 1,GO:0046686,response to cadmium ion,P
Locus_2163_Transcript_9_Length_3202_genewise_newlength_3202__CDS__1059__2432,bel1-like homeodomain 1,GO:0010154,fruit development,P
