gen,name,GO,description,meta
Locus_11493_Transcript_11_Length_2363_genewise_newlength_2361__CDS__460__2220,-like 16s rrna processing protein,GO:0035196,production of miRNAs involved in gene silencing by miRNA,P
Locus_11493_Transcript_11_Length_2363_genewise_newlength_2361__CDS__460__2220,-like 16s rrna processing protein,GO:0006364,rRNA processing,P
Locus_11493_Transcript_11_Length_2363_genewise_newlength_2361__CDS__460__2220,-like 16s rrna processing protein,GO:0010267,production of ta-siRNAs involved in RNA interference,P
Locus_11493_Transcript_11_Length_2363_genewise_newlength_2361__CDS__460__2220,-like 16s rrna processing protein,GO:0000023,maltose metabolic process,P
Locus_11493_Transcript_11_Length_2363_genewise_newlength_2361__CDS__460__2220,-like 16s rrna processing protein,GO:0019252,starch biosynthetic process,P
Locus_11493_Transcript_11_Length_2363_genewise_newlength_2361__CDS__460__2220,-like 16s rrna processing protein,GO:0009507,chloroplast,C
Locus_11493_Transcript_11_Length_2363_genewise_newlength_2361__CDS__460__2220,-like 16s rrna processing protein,GO:0051607,defense response to virus,P
Locus_11493_Transcript_11_Length_2363_genewise_newlength_2361__CDS__460__2220,-like 16s rrna processing protein,GO:0043085,positive regulation of catalytic activity,P
Locus_11493_Transcript_11_Length_2363_genewise_newlength_2361__CDS__460__2220,-like 16s rrna processing protein,GO:0016779,nucleotidyltransferase activity,F
Locus_11493_Transcript_11_Length_2363_genewise_newlength_2361__CDS__460__2220,-like 16s rrna processing protein,GO:0005840,ribosome,C
Locus_11493_Transcript_11_Length_2363_genewise_newlength_2361__CDS__460__2220,-like 16s rrna processing protein,GO:0043022,ribosome binding,F
Locus_6438_Transcript_9_Length_1352_genewise_newlength_1342__CDS__624__1058,#NAME?,GO:0010103,stomatal complex morphogenesis,P
Locus_6438_Transcript_9_Length_1352_genewise_newlength_1342__CDS__624__1058,#NAME?,GO:0019684,"photosynthesis, light reaction",P
Locus_6438_Transcript_9_Length_1352_genewise_newlength_1342__CDS__624__1058,#NAME?,GO:0048046,apoplast,C
Locus_6438_Transcript_9_Length_1352_genewise_newlength_1342__CDS__624__1058,#NAME?,GO:0019853,L-ascorbic acid biosynthetic process,P
Locus_6438_Transcript_9_Length_1352_genewise_newlength_1342__CDS__624__1058,#NAME?,GO:0009505,plant-type cell wall,C
Locus_6438_Transcript_9_Length_1352_genewise_newlength_1342__CDS__624__1058,#NAME?,GO:0030003,cellular cation homeostasis,P
Locus_6438_Transcript_9_Length_1352_genewise_newlength_1342__CDS__624__1058,#NAME?,GO:0009651,response to salt stress,P
Locus_6438_Transcript_9_Length_1352_genewise_newlength_1342__CDS__624__1058,#NAME?,GO:0006005,L-fucose biosynthetic process,P
Locus_6438_Transcript_9_Length_1352_genewise_newlength_1342__CDS__624__1058,#NAME?,GO:0042742,defense response to bacterium,P
Locus_6438_Transcript_9_Length_1352_genewise_newlength_1342__CDS__624__1058,#NAME?,GO:0005737,cytoplasm,C
Locus_6438_Transcript_9_Length_1352_genewise_newlength_1342__CDS__624__1058,#NAME?,GO:0070838,divalent metal ion transport,P
Locus_6438_Transcript_9_Length_1352_genewise_newlength_1342__CDS__624__1058,#NAME?,GO:0009409,response to cold,P
Locus_6438_Transcript_9_Length_1352_genewise_newlength_1342__CDS__624__1058,#NAME?,GO:0050577,GDP-L-fucose synthase activity,F
Locus_6438_Transcript_9_Length_1352_genewise_newlength_1342__CDS__624__1058,#NAME?,GO:0050162,oxalate oxidase activity,F
Locus_6438_Transcript_9_Length_1352_genewise_newlength_1342__CDS__624__1058,#NAME?,GO:0005634,nucleus,C
Locus_6438_Transcript_9_Length_1352_genewise_newlength_1342__CDS__624__1058,#NAME?,GO:0031012,extracellular matrix,C
Locus_537_Transcript_8_Length_3320_genewise_newlength_2755__CDS__139__1809,#NAME?,GO:0005737,cytoplasm,C
Locus_537_Transcript_8_Length_3320_genewise_newlength_2755__CDS__139__1809,#NAME?,GO:0019243,methylglyoxal catabolic process to D-lactate,P
Locus_537_Transcript_8_Length_3320_genewise_newlength_2755__CDS__139__1809,#NAME?,GO:0005634,nucleus,C
Locus_537_Transcript_8_Length_3320_genewise_newlength_2755__CDS__139__1809,#NAME?,GO:0008649,rRNA methyltransferase activity,F
Locus_537_Transcript_8_Length_3320_genewise_newlength_2755__CDS__139__1809,#NAME?,GO:0031167,rRNA methylation,P
Locus_8_Transcript_5_Length_1966_genewise_newlength_1966__CDS__834__1760,#NAME?,GO:0016651,"oxidoreductase activity, acting on NAD(P)H",F
Locus_8_Transcript_5_Length_1966_genewise_newlength_1966__CDS__834__1760,#NAME?,GO:0044763,single-organism cellular process,P
Locus_8_Transcript_5_Length_1966_genewise_newlength_1966__CDS__834__1760,#NAME?,GO:0080090,regulation of primary metabolic process,P
Locus_8_Transcript_5_Length_1966_genewise_newlength_1966__CDS__834__1760,#NAME?,GO:0005515,protein binding,F
Locus_8_Transcript_5_Length_1966_genewise_newlength_1966__CDS__834__1760,#NAME?,GO:0010629,negative regulation of gene expression,P
Locus_8_Transcript_5_Length_1966_genewise_newlength_1966__CDS__834__1760,#NAME?,GO:0018130,heterocycle biosynthetic process,P
Locus_8_Transcript_5_Length_1966_genewise_newlength_1966__CDS__834__1760,#NAME?,GO:0009807,lignan biosynthetic process,P
Locus_8_Transcript_5_Length_1966_genewise_newlength_1966__CDS__834__1760,#NAME?,GO:0009889,regulation of biosynthetic process,P
Locus_8_Transcript_5_Length_1966_genewise_newlength_1966__CDS__834__1760,#NAME?,GO:0005737,cytoplasm,C
Locus_8_Transcript_5_Length_1966_genewise_newlength_1966__CDS__834__1760,#NAME?,GO:0044212,transcription regulatory region DNA binding,F
Locus_8_Transcript_5_Length_1966_genewise_newlength_1966__CDS__834__1760,#NAME?,GO:0034645,cellular macromolecule biosynthetic process,P
Locus_8_Transcript_5_Length_1966_genewise_newlength_1966__CDS__834__1760,#NAME?,GO:0046686,response to cadmium ion,P
Locus_8_Transcript_5_Length_1966_genewise_newlength_1966__CDS__834__1760,#NAME?,GO:0050794,regulation of cellular process,P
Locus_8_Transcript_5_Length_1966_genewise_newlength_1966__CDS__834__1760,#NAME?,GO:0003700,sequence-specific DNA binding transcription factor activity,F
Locus_8_Transcript_5_Length_1966_genewise_newlength_1966__CDS__834__1760,#NAME?,GO:0009506,plasmodesma,C
Locus_8_Transcript_5_Length_1966_genewise_newlength_1966__CDS__834__1760,#NAME?,GO:0005886,plasma membrane,C
Locus_8_Transcript_5_Length_1966_genewise_newlength_1966__CDS__834__1760,#NAME?,GO:0010031,circumnutation,P
Locus_8_Transcript_5_Length_1966_genewise_newlength_1966__CDS__834__1760,#NAME?,GO:0005634,nucleus,C
Locus_8_Transcript_5_Length_1966_genewise_newlength_1966__CDS__834__1760,#NAME?,GO:0032442,phenylcoumaran benzylic ether reductase activity,F
Locus_8_Transcript_5_Length_1966_genewise_newlength_1966__CDS__834__1760,#NAME?,GO:0006979,response to oxidative stress,P
Locus_8_Transcript_5_Length_1966_genewise_newlength_1966__CDS__834__1760,#NAME?,GO:0010283,pinoresinol reductase activity,F
Locus_8_Transcript_5_Length_1966_genewise_newlength_1966__CDS__834__1760,#NAME?,GO:0007623,circadian rhythm,P
Locus_23939_Transcript_5_Length_1316_genewise_newlength_1316__CDS__334__909,-like protein 2,GO:0005507,copper ion binding,F
Locus_23939_Transcript_5_Length_1316_genewise_newlength_1316__CDS__334__909,-like protein 2,GO:0016226,iron-sulfur cluster assembly,P
Locus_23939_Transcript_5_Length_1316_genewise_newlength_1316__CDS__334__909,-like protein 2,GO:0009658,chloroplast organization,P
Locus_23939_Transcript_5_Length_1316_genewise_newlength_1316__CDS__334__909,-like protein 2,GO:0005524,ATP binding,F
Locus_23939_Transcript_5_Length_1316_genewise_newlength_1316__CDS__334__909,-like protein 2,GO:0009570,chloroplast stroma,C
Locus_23939_Transcript_5_Length_1316_genewise_newlength_1316__CDS__334__909,-like protein 2,GO:0005739,mitochondrion,C
Locus_23939_Transcript_5_Length_1316_genewise_newlength_1316__CDS__334__909,-like protein 2,GO:0005198,structural molecule activity,F
Locus_2520_Transcript_15_Length_1898_genewise_newlength_1898__CDS__435__1559,#NAME?,GO:0005886,plasma membrane,C
Locus_2520_Transcript_15_Length_1898_genewise_newlength_1898__CDS__435__1559,#NAME?,GO:0016021,integral to membrane,C
Locus_12851_Transcript_5_Length_1620_genewise_newlength_1620__CDS__149__1258,#NAME?,GO:0008270,zinc ion binding,F
Locus_12851_Transcript_5_Length_1620_genewise_newlength_1620__CDS__149__1258,#NAME?,GO:0016020,membrane,C
Locus_12851_Transcript_5_Length_1620_genewise_newlength_1620__CDS__149__1258,#NAME?,GO:0008610,lipid biosynthetic process,P
Locus_12851_Transcript_5_Length_1620_genewise_newlength_1620__CDS__149__1258,#NAME?,GO:0044255,cellular lipid metabolic process,P
Locus_12851_Transcript_5_Length_1620_genewise_newlength_1620__CDS__149__1258,#NAME?,GO:0046394,carboxylic acid biosynthetic process,P
Locus_12851_Transcript_5_Length_1620_genewise_newlength_1620__CDS__149__1258,#NAME?,GO:0044434,chloroplast part,C
Locus_12851_Transcript_5_Length_1620_genewise_newlength_1620__CDS__149__1258,#NAME?,GO:0006520,cellular amino acid metabolic process,P
Locus_12851_Transcript_5_Length_1620_genewise_newlength_1620__CDS__149__1258,#NAME?,GO:0009628,response to abiotic stimulus,P
Locus_12851_Transcript_5_Length_1620_genewise_newlength_1620__CDS__149__1258,#NAME?,GO:0032787,monocarboxylic acid metabolic process,P
Locus_12851_Transcript_5_Length_1620_genewise_newlength_1620__CDS__149__1258,#NAME?,GO:0009579,thylakoid,C
Locus_12851_Transcript_5_Length_1620_genewise_newlength_1620__CDS__149__1258,#NAME?,GO:0051186,cofactor metabolic process,P
Locus_12851_Transcript_5_Length_1620_genewise_newlength_1620__CDS__149__1258,#NAME?,GO:0006725,cellular aromatic compound metabolic process,P
Locus_12851_Transcript_5_Length_1620_genewise_newlength_1620__CDS__149__1258,#NAME?,GO:0046483,heterocycle metabolic process,P
Locus_12851_Transcript_5_Length_1620_genewise_newlength_1620__CDS__149__1258,#NAME?,GO:1901360,organic cyclic compound metabolic process,P
Locus_12851_Transcript_5_Length_1620_genewise_newlength_1620__CDS__149__1258,#NAME?,GO:0006950,response to stress,P
Locus_12851_Transcript_5_Length_1620_genewise_newlength_1620__CDS__149__1258,#NAME?,GO:0009526,plastid envelope,C
Locus_12851_Transcript_5_Length_1620_genewise_newlength_1620__CDS__149__1258,#NAME?,GO:0016628,"oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor",F
Locus_12851_Transcript_5_Length_1620_genewise_newlength_1620__CDS__149__1258,#NAME?,GO:0005739,mitochondrion,C
Locus_12851_Transcript_5_Length_1620_genewise_newlength_1620__CDS__149__1258,#NAME?,GO:0016747,"transferase activity, transferring acyl groups other than amino-acyl groups",F
Locus_12851_Transcript_5_Length_1620_genewise_newlength_1620__CDS__149__1258,#NAME?,GO:0055114,oxidation-reduction process,P
Locus_8266_Transcript_4_Length_2062_genewise_newlength_1699__CDS__366__1511,#NAME?,GO:0010286,heat acclimation,P
Locus_8266_Transcript_4_Length_2062_genewise_newlength_1699__CDS__366__1511,#NAME?,GO:0080007,S-nitrosoglutathione reductase activity,F
Locus_8266_Transcript_4_Length_2062_genewise_newlength_1699__CDS__366__1511,#NAME?,GO:0051903,S-(hydroxymethyl)glutathione dehydrogenase activity,F
Locus_8266_Transcript_4_Length_2062_genewise_newlength_1699__CDS__366__1511,#NAME?,GO:0004022,alcohol dehydrogenase (NAD) activity,F
Locus_8266_Transcript_4_Length_2062_genewise_newlength_1699__CDS__366__1511,#NAME?,GO:0045492,xylan biosynthetic process,P
Locus_8266_Transcript_4_Length_2062_genewise_newlength_1699__CDS__366__1511,#NAME?,GO:0018130,heterocycle biosynthetic process,P
Locus_8266_Transcript_4_Length_2062_genewise_newlength_1699__CDS__366__1511,#NAME?,GO:0010106,cellular response to iron ion starvation,P
Locus_8266_Transcript_4_Length_2062_genewise_newlength_1699__CDS__366__1511,#NAME?,GO:0009651,response to salt stress,P
Locus_8266_Transcript_4_Length_2062_genewise_newlength_1699__CDS__366__1511,#NAME?,GO:0015706,nitrate transport,P
Locus_8266_Transcript_4_Length_2062_genewise_newlength_1699__CDS__366__1511,#NAME?,GO:0006826,iron ion transport,P
Locus_8266_Transcript_4_Length_2062_genewise_newlength_1699__CDS__366__1511,#NAME?,GO:0071310,cellular response to organic substance,P
Locus_8266_Transcript_4_Length_2062_genewise_newlength_1699__CDS__366__1511,#NAME?,GO:0005777,peroxisome,C
Locus_8266_Transcript_4_Length_2062_genewise_newlength_1699__CDS__366__1511,#NAME?,GO:0005829,cytosol,C
Locus_8266_Transcript_4_Length_2062_genewise_newlength_1699__CDS__366__1511,#NAME?,GO:0042430,indole-containing compound metabolic process,P
Locus_8266_Transcript_4_Length_2062_genewise_newlength_1699__CDS__366__1511,#NAME?,GO:0010359,regulation of anion channel activity,P
Locus_8266_Transcript_4_Length_2062_genewise_newlength_1699__CDS__366__1511,#NAME?,GO:0046292,formaldehyde metabolic process,P
Locus_8266_Transcript_4_Length_2062_genewise_newlength_1699__CDS__366__1511,#NAME?,GO:0001666,response to hypoxia,P
Locus_8266_Transcript_4_Length_2062_genewise_newlength_1699__CDS__366__1511,#NAME?,GO:0045333,cellular respiration,P
Locus_8266_Transcript_4_Length_2062_genewise_newlength_1699__CDS__366__1511,#NAME?,GO:0007165,signal transduction,P
Locus_8266_Transcript_4_Length_2062_genewise_newlength_1699__CDS__366__1511,#NAME?,GO:0010413,glucuronoxylan metabolic process,P
Locus_8266_Transcript_4_Length_2062_genewise_newlength_1699__CDS__366__1511,#NAME?,GO:0032787,monocarboxylic acid metabolic process,P
Locus_8266_Transcript_4_Length_2062_genewise_newlength_1699__CDS__366__1511,#NAME?,GO:0008219,cell death,P
Locus_8266_Transcript_4_Length_2062_genewise_newlength_1699__CDS__366__1511,#NAME?,GO:0010167,response to nitrate,P
Locus_8266_Transcript_4_Length_2062_genewise_newlength_1699__CDS__366__1511,#NAME?,GO:0046686,response to cadmium ion,P
Locus_8266_Transcript_4_Length_2062_genewise_newlength_1699__CDS__366__1511,#NAME?,GO:0005886,plasma membrane,C
Locus_8266_Transcript_4_Length_2062_genewise_newlength_1699__CDS__366__1511,#NAME?,GO:0019438,aromatic compound biosynthetic process,P
Locus_8266_Transcript_4_Length_2062_genewise_newlength_1699__CDS__366__1511,#NAME?,GO:0048316,seed development,P
Locus_8266_Transcript_4_Length_2062_genewise_newlength_1699__CDS__366__1511,#NAME?,GO:0016132,brassinosteroid biosynthetic process,P
Locus_8266_Transcript_4_Length_2062_genewise_newlength_1699__CDS__366__1511,#NAME?,GO:0008270,zinc ion binding,F
Locus_603_Transcript_28_Length_5462_genewise_newlength_5003__CDS__1903__4842,#NAME?,GO:0051716,cellular response to stimulus,P
Locus_603_Transcript_28_Length_5462_genewise_newlength_5003__CDS__1903__4842,#NAME?,GO:0043231,intracellular membrane-bounded organelle,C
Locus_603_Transcript_28_Length_5462_genewise_newlength_5003__CDS__1903__4842,#NAME?,GO:1901362,organic cyclic compound biosynthetic process,P
Locus_603_Transcript_28_Length_5462_genewise_newlength_5003__CDS__1903__4842,#NAME?,GO:0006081,cellular aldehyde metabolic process,P
Locus_603_Transcript_28_Length_5462_genewise_newlength_5003__CDS__1903__4842,#NAME?,GO:0005829,cytosol,C
Locus_603_Transcript_28_Length_5462_genewise_newlength_5003__CDS__1903__4842,#NAME?,GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",F
Locus_603_Transcript_28_Length_5462_genewise_newlength_5003__CDS__1903__4842,#NAME?,GO:0007154,cell communication,P
Locus_603_Transcript_28_Length_5462_genewise_newlength_5003__CDS__1903__4842,#NAME?,GO:0006970,response to osmotic stress,P
Locus_603_Transcript_28_Length_5462_genewise_newlength_5003__CDS__1903__4842,#NAME?,GO:0044711,single-organism biosynthetic process,P
Locus_603_Transcript_28_Length_5462_genewise_newlength_5003__CDS__1903__4842,#NAME?,GO:0044281,small molecule metabolic process,P
Locus_603_Transcript_28_Length_5462_genewise_newlength_5003__CDS__1903__4842,#NAME?,GO:0010035,response to inorganic substance,P
Locus_603_Transcript_28_Length_5462_genewise_newlength_5003__CDS__1903__4842,#NAME?,GO:0050794,regulation of cellular process,P
Locus_603_Transcript_28_Length_5462_genewise_newlength_5003__CDS__1903__4842,#NAME?,GO:0006811,ion transport,P
Locus_603_Transcript_28_Length_5462_genewise_newlength_5003__CDS__1903__4842,#NAME?,GO:0044249,cellular biosynthetic process,P
Locus_603_Transcript_28_Length_5462_genewise_newlength_5003__CDS__1903__4842,#NAME?,GO:0015074,DNA integration,P
Locus_603_Transcript_28_Length_5462_genewise_newlength_5003__CDS__1903__4842,#NAME?,GO:0003676,nucleic acid binding,F
Locus_2429_Transcript_9_Length_3307_genewise_newlength_3307__CDS__375__3113,#NAME?,GO:0005992,trehalose biosynthetic process,P
Locus_2429_Transcript_9_Length_3307_genewise_newlength_3307__CDS__375__3113,#NAME?,GO:0009611,response to wounding,P
Locus_2429_Transcript_9_Length_3307_genewise_newlength_3307__CDS__375__3113,#NAME?,GO:0009620,response to fungus,P
Locus_2429_Transcript_9_Length_3307_genewise_newlength_3307__CDS__375__3113,#NAME?,GO:0009867,jasmonic acid mediated signaling pathway,P
Locus_2429_Transcript_9_Length_3307_genewise_newlength_3307__CDS__375__3113,#NAME?,GO:0009414,response to water deprivation,P
Locus_2429_Transcript_9_Length_3307_genewise_newlength_3307__CDS__375__3113,#NAME?,GO:0009793,embryo development ending in seed dormancy,P
Locus_2429_Transcript_9_Length_3307_genewise_newlength_3307__CDS__375__3113,#NAME?,GO:0080013,"(E,E)-geranyllinalool synthase activity",F
Locus_2429_Transcript_9_Length_3307_genewise_newlength_3307__CDS__375__3113,#NAME?,GO:0009664,plant-type cell wall organization,P
Locus_2429_Transcript_9_Length_3307_genewise_newlength_3307__CDS__375__3113,#NAME?,GO:0009617,response to bacterium,P
Locus_2429_Transcript_9_Length_3307_genewise_newlength_3307__CDS__375__3113,#NAME?,GO:0051301,cell division,P
Locus_2429_Transcript_9_Length_3307_genewise_newlength_3307__CDS__375__3113,#NAME?,GO:0009507,chloroplast,C
Locus_2429_Transcript_9_Length_3307_genewise_newlength_3307__CDS__375__3113,#NAME?,GO:0080027,response to herbivore,P
Locus_2429_Transcript_9_Length_3307_genewise_newlength_3307__CDS__375__3113,#NAME?,GO:0000304,response to singlet oxygen,P
Locus_2429_Transcript_9_Length_3307_genewise_newlength_3307__CDS__375__3113,#NAME?,GO:0042538,hyperosmotic salinity response,P
Locus_2429_Transcript_9_Length_3307_genewise_newlength_3307__CDS__375__3113,#NAME?,GO:0010182,sugar mediated signaling pathway,P
Locus_2429_Transcript_9_Length_3307_genewise_newlength_3307__CDS__375__3113,#NAME?,GO:0003825,"alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity",F
Locus_2429_Transcript_9_Length_3307_genewise_newlength_3307__CDS__375__3113,#NAME?,GO:0016102,diterpenoid biosynthetic process,P
Locus_2429_Transcript_9_Length_3307_genewise_newlength_3307__CDS__375__3113,#NAME?,GO:0009695,jasmonic acid biosynthetic process,P
Locus_2429_Transcript_9_Length_3307_genewise_newlength_3307__CDS__375__3113,#NAME?,GO:0009738,abscisic acid mediated signaling pathway,P
Locus_2429_Transcript_9_Length_3307_genewise_newlength_3307__CDS__375__3113,#NAME?,GO:0009832,plant-type cell wall biogenesis,P
Locus_2429_Transcript_9_Length_3307_genewise_newlength_3307__CDS__375__3113,#NAME?,GO:0009723,response to ethylene stimulus,P
Locus_2429_Transcript_9_Length_3307_genewise_newlength_3307__CDS__375__3113,#NAME?,GO:0009733,response to auxin stimulus,P
Locus_7662_Transcript_17_Length_2479_genewise_newlength_2027__CDS__180__1589,1-deoxy-d-xylulose 5-phosphate reductoisomerase,GO:0009072,aromatic amino acid family metabolic process,P
Locus_7662_Transcript_17_Length_2479_genewise_newlength_2027__CDS__180__1589,1-deoxy-d-xylulose 5-phosphate reductoisomerase,GO:0006098,pentose-phosphate shunt,P
Locus_7662_Transcript_17_Length_2479_genewise_newlength_2027__CDS__180__1589,1-deoxy-d-xylulose 5-phosphate reductoisomerase,GO:0000096,sulfur amino acid metabolic process,P
Locus_7662_Transcript_17_Length_2479_genewise_newlength_2027__CDS__180__1589,1-deoxy-d-xylulose 5-phosphate reductoisomerase,GO:0042744,hydrogen peroxide catabolic process,P
Locus_7662_Transcript_17_Length_2479_genewise_newlength_2027__CDS__180__1589,1-deoxy-d-xylulose 5-phosphate reductoisomerase,GO:0016117,carotenoid biosynthetic process,P
Locus_7662_Transcript_17_Length_2479_genewise_newlength_2027__CDS__180__1589,1-deoxy-d-xylulose 5-phosphate reductoisomerase,GO:0006655,phosphatidylglycerol biosynthetic process,P
Locus_7662_Transcript_17_Length_2479_genewise_newlength_2027__CDS__180__1589,1-deoxy-d-xylulose 5-phosphate reductoisomerase,GO:0006636,unsaturated fatty acid biosynthetic process,P
Locus_7662_Transcript_17_Length_2479_genewise_newlength_2027__CDS__180__1589,1-deoxy-d-xylulose 5-phosphate reductoisomerase,GO:0043085,positive regulation of catalytic activity,P
Locus_7662_Transcript_17_Length_2479_genewise_newlength_2027__CDS__180__1589,1-deoxy-d-xylulose 5-phosphate reductoisomerase,GO:0019252,starch biosynthetic process,P
Locus_7662_Transcript_17_Length_2479_genewise_newlength_2027__CDS__180__1589,1-deoxy-d-xylulose 5-phosphate reductoisomerase,GO:0030604,1-deoxy-D-xylulose-5-phosphate reductoisomerase activity,F
Locus_7662_Transcript_17_Length_2479_genewise_newlength_2027__CDS__180__1589,1-deoxy-d-xylulose 5-phosphate reductoisomerase,GO:0006766,vitamin metabolic process,P
Locus_7662_Transcript_17_Length_2479_genewise_newlength_2027__CDS__180__1589,1-deoxy-d-xylulose 5-phosphate reductoisomerase,GO:0000023,maltose metabolic process,P
Locus_7662_Transcript_17_Length_2479_genewise_newlength_2027__CDS__180__1589,1-deoxy-d-xylulose 5-phosphate reductoisomerase,GO:0006546,glycine catabolic process,P
Locus_7662_Transcript_17_Length_2479_genewise_newlength_2027__CDS__180__1589,1-deoxy-d-xylulose 5-phosphate reductoisomerase,GO:0009106,lipoate metabolic process,P
Locus_7662_Transcript_17_Length_2479_genewise_newlength_2027__CDS__180__1589,1-deoxy-d-xylulose 5-phosphate reductoisomerase,GO:0009108,coenzyme biosynthetic process,P
Locus_7662_Transcript_17_Length_2479_genewise_newlength_2027__CDS__180__1589,1-deoxy-d-xylulose 5-phosphate reductoisomerase,GO:0015995,chlorophyll biosynthetic process,P
Locus_7662_Transcript_17_Length_2479_genewise_newlength_2027__CDS__180__1589,1-deoxy-d-xylulose 5-phosphate reductoisomerase,GO:0019288,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",P
